Question,Ground Truth,AI Answer,Metadata,Retrieval Score,Faithfulness,Answer Relevance,Hit@1,Hit@3,Hit@5,Context Precision,Context Recall,Answer Relevancy,Actual_Faithful,Predicted_Faithful
What is a consolidated e-Invoice?,An e-Invoice that aggregates multiple smaller transactions (where buyers do not require an individual e-Invoice) into a single unified e-Invoice for submission to IRBM.,"A consolidated e-Invoice is a type of electronic invoice that combines multiple transactions or statements/bills into a single invoice. It is issued by a supplier to the general public or to a buyer who does not require an e-Invoice.

According to the E-Invoice Specific Guideline (Version 4.6), a consolidated e-Invoice is similar to the e-Invoice workflow, but with some exceptions. Once the consolidated e-Invoice has been validated, the Inland Revenue Board of Malaysia (IRBM) will send a notification to the supplier only, and not to the buyer. This is because the consolidated e-Invoice is issued to the general public or to a buyer who does not require an e-Invoice.

The validated e-Invoice serves as the supplier's proof of income and expense, and it is not required to be shared with the buyer. The information required to be included in the consolidated e-Invoice are as per the required data fields outlined in Appendices 1 and 2 of the e-Invoice Guideline.

In the case where a buyer does not require an e-Invoice, the supplier will issue a normal statement/bill to the buyer, and then aggregate the statements/bills within the current issuance period. The supplier will then create and submit a consolidated e-Invoice to IRBM for validation, within seven calendar days after the end of the billing month.

To illustrate this, let's consider an example. Hibiscus Mart Sdn Bhd, a small retail business, has two branches in Penang and Kuala Lumpur. In October, the Penang branch had 500 transactions amounting to RM25,000, while the Kuala Lumpur branch had 2,000 transactions amounting to RM65,000. Within seven calendar days after the end of October, Hibiscus Mart issues two separate consolidated e-Invoices, one for the Penang branch and another for the Kuala Lumpur branch, aggregating the total sales from each branch.

In summary, a consolidated e-Invoice is a single electronic invoice that combines multiple transactions or statements/bills, issued by a supplier to the general public or to a buyer who does not require an e-Invoice.",📚 Source A: irbm-specific-guideline.pdf (p.50) | Source B: irbm-specific-guideline.pdf (p.22) | Source C: irbm-specific-guideline.pdf (p.49) | Confidence: 87.05%,0.8704578187885988,0.8,0.9,1.0,1.0,1.0,1.0,0.6363636363636364,0.9,1,1
What is a self-billed e-Invoice?,An e-Invoice issued by the buyer (rather than the seller) to document and validate specific transaction types where the buyer has the transaction details.,"A self-billed e-Invoice is a type of electronic invoice that is issued by a Buyer, rather than the traditional Supplier, to document an expense or transaction. This is required in certain circumstances where the Buyer needs to recognize the expense or transaction, but the Supplier is not issuing an e-Invoice.

According to the E-Invoice Specific Guideline (Version 4.6), a Buyer is required to issue a self-billed e-Invoice for the following transactions:

1. Payment to agents, dealers, distributors, etc.
2. Goods sold or services rendered by foreign suppliers
3. Profit distribution (e.g., dividend distribution)
4. Electronic commerce (“e-commerce”) transactions
5. Pay-out to all betting and gaming winners
6. Transactions with individuals (who are not conducting a business)
7. Interest payment, except for businesses that charge interest to the public at large or interest payment made by employee to employer.

The purpose of a self-billed e-Invoice is to provide proof of expense or income for the Buyer, and to comply with the e-Invoice requirements set by the LHDN (Lembaga Hasil Dalam Negeri) in Malaysia.

In essence, a self-billed e-Invoice is a document that is issued by the Buyer to record a transaction or expense, and it serves as a substitute for the traditional e-Invoice issued by the Supplier.",📚 Source A: irbm-specific-guideline.pdf (p.63) | Source B: irbm-specific-guideline.pdf (p.63) | Source C: irbm-e-invoice-guideline.pdf (p.11) | Confidence: 94.13%,0.9412998671613896,0.8,0.95,1.0,1.0,1.0,1.0,0.8,0.95,1,1
Who is responsible for issuing a self-billed e-Invoice?,The buyer is responsible for issuing the self-billed e-Invoice and submitting it to IRBM for validation.,"Based on the E-Invoice Specific Guideline (Version 4.6), the responsibility for issuing a self-billed e-Invoice varies depending on the circumstances.

According to Section 8.3, the following parties are responsible for issuing self-billed e-Invoices:

- For transactions with agents, dealers, distributors, etc. (refer to Section 9 of this e-Invoice Specific Guideline): The Buyer shall issue self-billed e-Invoices.
- For goods sold or services rendered by foreign suppliers (refer to Section 10.4 of this e-Invoice Specific Guideline): The Buyer shall issue self-billed e-Invoices.
- For profit distribution (e.g., dividend distribution) (refer to Section 11 of this e-Invoice Specific Guideline): The Buyer shall issue self-billed e-Invoices.
- For electronic commerce (“e-commerce”) transactions (refer to Section 14 of this e-Invoice Specific Guideline): The e-commerce platform provider shall issue self-billed e-Invoices to the Merchant and/or Service Provider.
- For pay-out to all betting and gaming winners: The relevant party shall issue self-billed e-Invoices (refer to Table 3.6 of this e-Invoice Specific Guideline).
- For transactions with individuals (who are not conducting a business) (applicable only if the other self-billed circumstances are not applicable): The Buyer shall issue self-billed e-Invoices.
- For interest payment, except: Businesses (e.g., financial institutions, etc.) that charge interest to public at large (regardless of whether they are businesses or individuals); Interest payment made by employee to employer: The relevant party shall issue self-billed e-Invoices.

In summary, the responsibility for issuing a self-billed e-Invoice lies with the Buyer in most cases, while the e-commerce platform provider is responsible for issuing self-billed e-Invoices to the Merchant and/or Service Provider for e-commerce transactions.",📚 Source A: irbm-specific-guideline.pdf (p.63) | Source B: irbm-specific-guideline.pdf (p.111) | Source C: irbm-specific-guideline.pdf (p.116) | Confidence: 89.71%,0.8970545601541863,0.9,0.9,1.0,1.0,1.0,1.0,0.8125,0.9,1,1
What information is required in an e-Invoice?,"Standard mandatory fields include Seller’s & Buyer’s details (Name, TIN, BRN/MyKad), Invoice Date & Time, Description of Goods/Services, Quantity, Unit Price, Tax Rate, and Total Amount.","Based on the provided E-Invoice Guideline (Version 4.6), there are 55 data fields required to issue an e-Invoice, grouped into eight (8) categories:

1. **Address**: This category includes the address of the buyer and seller.
2. **Business Details**: This category includes the business details of the seller, such as their name, registration number, and tax identification number (TIN).
3. **Contact Number**: This category includes the contact number of the seller and buyer.
4. **Invoice Details**: This category includes the invoice number, date, and total amount.
5. **Parties**: This category includes the details of the buyer and seller, such as their names and TINs.
6. **Party Details**: This category includes the details of the buyer and seller, such as their addresses and contact numbers.
7. **Payment Info**: This category includes the payment details, such as the payment method and due date.
8. **Products / Services**: This category includes the details of the products or services sold, such as their descriptions, quantities, and prices.

In addition to these categories, the following information is required to be included in an e-Invoice:

* **Buyer's Name**: The name of the buyer, which should be in the format:
	+ For businesses: Name of business
	+ For Malaysian individuals: Full name as per MyKad / MyTentera
	+ For non-Malaysian individuals: Full name as per passport / MyPR / MyKAS
* **Buyer's TIN**: The TIN of the buyer, which should be input by the e-commerce platform provider. For Malaysian businesses, the e-commerce platform provider should input the buyer's TIN and business registration number. For foreign businesses, the e-commerce platform provider should input the buyer's TIN and business registration number, where available. If the TIN is not available or not provided, the e-commerce platform provider should input the buyer's name and address.

It's worth noting that the e-Invoice Guideline (Version 4.6) also states that merchants and/or service providers are not required to issue e-Invoice or receipt to the Purchaser for the goods sold or services performed, unless specified otherwise.",📚 Source A: irbm-e-invoice-guideline.pdf (p.29) | Source B: irbm-specific-guideline.pdf (p.117) | Source C: irbm-specific-guideline.pdf (p.108) | Confidence: 87.58%,0.8757739499739938,0.8,0.9,1.0,1.0,1.0,1.0,0.4444444444444444,0.9,1,1
What is the purpose of Malaysia's e-Invoicing initiative?,"To support the growth of the digital economy, enhance tax compliance, reduce manual processing, and streamline business tax administration in Malaysia.","Based on the provided background context and verified cloud reference, the purpose of Malaysia's e-Invoicing initiative is to enhance the efficiency of Malaysia's tax administration management. This is in line with the Twelfth Malaysia Plan and the Thirteenth Malaysia Plan, which emphasize strengthening the digital services infrastructure, digitalizing the tax administration, and accelerating digital transformation to build a digital government and economy.

The e-Invoicing initiative aims to achieve the following objectives:

1. Enhance the efficiency of tax administration management
2. Strengthen the digital services infrastructure
3. Digitalize the tax administration
4. Accelerate digital transformation to build a digital government and economy
5. Improve financial management efficiency
6. Promote strategies to enhance business productivity and competitiveness

The e-Invoicing system will enable near real-time validation and storage of transactions, catering to Business-to-Business (B2B), Business-to-Consumer (B2C), and Business-to-Government (B2G) transactions. This will facilitate the transition to a digital economy and improve the overall efficiency of tax administration in Malaysia.

In addition, the e-Invoicing initiative will also enable taxpayers to view their historical e-Invoices on IRBM's database, making it easier for them to manage their tax obligations and comply with tax regulations.

Overall, the purpose of Malaysia's e-Invoicing initiative is to create a more efficient, digital, and transparent tax administration system that supports the growth of the digital economy and enhances business productivity and competitiveness.",📚 Source A: irbm-e-invoice-guideline.pdf (p.8) | Source B: irbm-specific-guideline.pdf (p.84) | Source C: irbm-e-invoice-guideline.pdf (p.17) | Confidence: 94.60%,0.9460341781924517,0.8,0.95,1.0,1.0,1.0,1.0,0.7368421052631579,0.95,1,1
Can I combine multiple sales into one e-Invoice?,"Yes, taxpayers can aggregate transactions for buyers who do not request individual e-Invoices into a single consolidated e-Invoice on a monthly basis, within 7 days after the month's end.","Based on the E-Invoice Specific Guideline (Version 4.6) provided, the answer to your question is yes, you can combine multiple sales into one e-Invoice.

According to Table 3.4 – Details required to be input by Buyer for issuance of consolidated self-billed e-Invoice, Hibiscus Mart Sdn Bhd (Hibiscus Mart) is a small retail business that offers a wide range of food products and beverages via its two (2) branches located in Penang and Kuala Lumpur. The example provided shows that Hibiscus Mart issues two (2) separate consolidated e-Invoice after aggregating the total sales from each branch, i.e., one e-Invoice for Penang branch and another e-Invoice for Kuala Lumpur branch.

Additionally, according to Section 10 of the guideline, IRBM allows the Buyers to adopt one (or a combination) of the following methods for the consolidated self-billed e-Invoice:

(a) Summary of each receipt is presented as separate line items
(b) List of receipts (in a continuous receipt number) is presented as line items
(c) Branch(es) or location(s) will submit consolidated self-billed e-Invoice, adopting either (a) or (b) above for the receipts issued by the said branch(es) or location(s)

This indicates that you can combine multiple sales into one e-Invoice by presenting the summary of each receipt as separate line items or by listing the receipts in a continuous receipt number.

However, please note that the receipt reference number for each transaction is required to be included under the ""No Data field"" in the consolidated e-Invoice, as mentioned in the guideline.

Therefore, to answer your question, yes, you can combine multiple sales into one e-Invoice, but you must ensure that the receipt reference number for each transaction is included in the consolidated e-Invoice.",📚 Source A: irbm-specific-guideline.pdf (p.22) | Source B: irbm-specific-guideline.pdf (p.21) | Source C: irbm-specific-guideline.pdf (p.126) | Confidence: 81.50%,0.8150432908364604,0.8,0.9,1.0,1.0,1.0,1.0,0.4666666666666667,0.9,1,1
Do I need to issue an e-Invoice for a refundable deposit?,"No e-Invoice is required at the point of receiving a refundable security deposit, as it does not represent a payment for goods or services rendered.","Based on the provided guidelines, the e-Invoice treatment for deposits is as follows:

According to Section 49 of the e-Invoice guideline, if the deposit is refundable, the issuance of e-Invoice is not required. However, if the deposit is non-refundable, issuance of e-Invoice is required.

Since you mentioned that the deposit is refundable, you do not need to issue an e-Invoice for a refundable deposit.",📚 Source A: lhdnm-e-invoice-general-faqs.pdf (p.15) | Source B: irbm-e-invoice-guideline.pdf (p.11) | Source C: lhdnm-e-invoice-general-faqs.pdf (p.20) | Confidence: 96.99%,0.9698827954001304,0.9,0.9,1.0,1.0,1.0,1.0,0.84,0.9,1,1
Do I need an e-Invoice for a non-refundable deposit?,"Yes, an e-Invoice must be issued upon receiving a non-refundable deposit as it constitutes a part-payment or advance payment for goods or services.","Based on the verified dataset reference, the e-Invoice treatment for deposits is as follows:

For non-refundable deposits, the issuance of e-Invoice is required. This means that if you receive a non-refundable deposit from a customer, you are required to issue an e-Invoice for that deposit.

Please note that this is in accordance with the e-Invoice General Guideline and e-Invoice Specific Guideline, which state that e-Invoice is required for all types of income and expenses, excluding certain types as outlined in the guidelines. Non-refundable deposits are not exempt from e-Invoice issuance.

Therefore, to answer your question, yes, you do need an e-Invoice for a non-refundable deposit.",📚 Source A: lhdnm-e-invoice-general-faqs.pdf (p.15) | Source B: lhdnm-e-invoice-general-faqs.pdf (p.20) | Source C: irbm-specific-guideline.pdf (p.49) | Confidence: 94.96%,0.9495948534056133,0.9,0.95,1.0,1.0,1.0,1.0,0.782608695652174,0.95,1,1
Does my company need to issue an e-Invoice for intercompany charges?,"Yes, intercompany charges and cross-charging within the same corporate group represent distinct taxable supplies and require validated e-Invoices.","Based on the provided guidelines, the answer to your question is yes, your company is required to issue an e-Invoice for intercompany charges. According to Section 52 of the e-Invoice treatment for certain transactions, ""Yes, an e-Invoice is required to be issued for intercompany charges.""

This means that if your company has intercompany charges, you are required to issue an e-Invoice for these transactions. This is in line with the e-Invoice guidelines, which aim to ensure that all business-to-business (B2B) transactions are recorded accurately and efficiently.

Please note that this requirement is subject to the e-Invoice guidelines and may be updated periodically. It is essential to review the guidelines regularly to ensure compliance with the latest requirements.

If you have any further questions or concerns, please feel free to ask, and I will be happy to assist you.",📚 Source A: lhdnm-e-invoice-general-faqs.pdf (p.15) | Source B: lhdnm-e-invoice-general-faqs.pdf (p.15) | Source C: lhdnm-e-invoice-general-faqs.pdf (p.15) | Confidence: 87.73%,0.8773110361320516,0.9,0.95,1.0,1.0,1.0,1.0,0.42105263157894735,0.95,1,1
Do transactions between departments within the same company require an e-Invoice?,"No, internal transfers or allocations of costs between departments/branches within the same legal entity do not require an e-Invoice.","Based on the provided e-Invoice Specific Guideline (Version 4.6), the answer to your query is as follows:

According to Section 53 of the e-Invoice Specific Guideline, transactions between departments within the same company do not require an e-Invoice. However, it is worth noting that businesses may choose to issue e-Invoices between inter-department/inter-division transactions, depending on their internal practices and policies.

In other words, while it is not mandatory to issue e-Invoices for transactions between departments within the same company, businesses may still opt to do so for their own record-keeping and accounting purposes.

Here's a direct quote from the guideline to support this answer:

""53. Is e-Invoice required for inter-department / inter-division transactions within the same company?
No e-Invoice is required for inter-department / inter-division transactions with the same company. However, businesses may issue e-Invoice between inter-department / inter-division, depending on the businesses’ practices.""",📚 Source A: irbm-specific-guideline.pdf (p.56) | Source B: lhdnm-e-invoice-general-faqs.pdf (p.15) | Source C: lhdnm-e-invoice-general-faqs.pdf (p.15) | Confidence: 81.11%,0.8110975542805221,0.9,0.9,1.0,1.0,1.0,1.0,0.5714285714285714,0.9,1,1
